"LOINC_NUM","LONG_COMMON_NAME","ORDER_OBS"
"20444-6","Herpes simplex virus 1+2 DNA [Presence] in Unspecified specimen by NAA with probe detection","Both"
"49848-5","Herpes simplex virus 1+2 IgG Ab [Presence] in Serum by Immunoblot","Both"
"27948-9","Herpes simplex virus 1+2 IgG Ab [Units/volume] in Serum by Immunoassay","Both"
"41399-7","Herpes simplex virus 1+2 IgM Ab [Units/volume] in Serum by Immunoassay","Both"
"17851-7","Herpes simplex virus 2 IgG Ab [Presence] in Serum","Both"
"43180-9","Herpes simplex virus 2 IgG Ab [Presence] in Serum or Plasma by Immunoassay","Both"
"5209-2","Herpes simplex virus 2 IgG Ab [Units/volume] in Serum by Immunoassay","Both"
"26927-4","Herpes simplex virus 2 IgM Ab [Titer] in Serum by Immunofluorescence","Both"
"5202-7","Herpes simplex virus Ab [Units/volume] in Serum by Immunoassay","Both"
"62454-4","Herpes simplex virus and Varicella zoster virus identified in Unspecified specimen by Organism specific culture","Both"
"5856-0","Herpes simplex virus identified in Genital specimen by Organism specific culture","Both"
"5859-4","Herpes simplex virus identified in Unspecified specimen by Organism specific culture","Both"
"35423-3","Herpes simplex virus identified in Vaginal fluid by Organism specific culture","Both"
"25435-9","Herpes simplex virus IgM Ab [Presence] in Serum","Both"
"40729-6","Herpes simplex virus IgM Ab [Presence] in Serum by Immunoassay","Both"
"5211-8","Herpes virus 6 IgG Ab [Units/volume] in Serum","Both"
"31418-7","Heterophile Ab [Presence] in Serum","Both"
"5213-4","Heterophile Ab [Presence] in Serum by Latex agglutination","Both"
"32632-2","HEXA gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal","Both"
"21694-5","HFE gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal","Both"
"34519-9","HFE gene targeted mutation analysis in Blood or Tissue by Molecular genetics method","Both"
"21695-2","HFE gene.p.Cys282Tyr [Presence] in Blood or Tissue by Molecular genetics method","Both"
"29996-6","Histone IgG Ab [Units/volume] in Serum by Immunoassay","Both"
"5218-3","Histoplasma capsulatum Ab [Presence] in Serum by Immune diffusion (ID)","Both"
"19108-0","Histoplasma capsulatum Ag [Presence] in Serum","Both"
"44525-4","Histoplasma capsulatum Ag [Presence] in Serum by Immunoassay","Both"
"6428-7","Histoplasma capsulatum Ag [Units/volume] in Serum by Immunoassay","Both"
"19107-2","Histoplasma capsulatum Ag [Units/volume] in Serum by Radioimmunoassay (RIA)","Both"
"44528-8","Histoplasma capsulatum M Ab [Presence] in Serum","Both"
"7917-8","HIV 1 Ab [Presence] in Serum","Both"
"29893-5","HIV 1 Ab [Presence] in Serum or Plasma by Immunoassay","Both"
"5221-7","HIV 1 Ab [Presence] in Serum or Plasma by Immunoblot","Both"
"24012-7","HIV 1 Ag [Presence] in Serum","Both"
"5222-5","HIV 1 Ag [Presence] in Serum or Plasma by Immunoassay","Both"
"20447-9","HIV 1 RNA [#/volume] (viral load) in Serum or Plasma by NAA with probe detection","Both"
"25836-8","HIV 1 RNA [#/volume] (viral load) in Unspecified specimen by NAA with probe detection","Both"
"29539-4","HIV 1 RNA [Log #/volume] (viral load) in Plasma by Probe with signal amplification","Both"
"29541-0","HIV 1 RNA [Log #/volume] (viral load) in Serum or Plasma by NAA with probe detection","Both"
"25835-0","HIV 1 RNA [Presence] in Serum or Plasma by NAA with probe detection","Both"
"23876-6","HIV 1 RNA [Units/volume] (viral load) in Plasma by Probe with signal amplification","Both"
"7918-6","HIV 1+2 Ab [Presence] in Serum","Both"
"44533-8","HIV 1+2 Ab [Presence] in Serum from Donor","Both"
"31201-7","HIV 1+2 Ab [Presence] in Serum or Plasma by Immunoassay","Both"
"49580-4","HIV 1+2 Ab [Presence] in Unspecified specimen by Rapid immunoassay","Both"
"22357-8","HIV 1+2 Ab [Units/volume] in Serum","Both"
"48345-3","HIV 1+O+2 Ab [Presence] in Serum or Plasma","Both"
"48346-1","HIV 1+O+2 Ab [Units/volume] in Serum or Plasma","Both"
"5225-8","HIV 2 Ab [Presence] in Serum by Immunoblot","Both"
"30361-0","HIV 2 Ab [Presence] in Serum or Plasma by Immunoassay","Both"
"49573-9","HIV genotype [Susceptibility] in Isolate by Genotype method Narrative","Both"
"33630-5","HIV protease gene mutations detected [Identifier]","Both"
"46994-0","HLA-A+B+C (class I) Ab in Serum","Both"
"42358-2","HLA-B*57:01 [Presence] in Unspecified specimen","Both"
"4821-5","HLA-B27 [Presence]","Both"
"26028-1","HLA-B27 [Presence] by Flow cytometry (FC)","Both"
"26043-0","HLA-B27 [Presence] by NAA with probe detection","Both"
"2428-1","Homocysteine [Mass/volume] in Serum or Plasma","Both"
"13965-9","Homocysteine [Moles/volume] in Serum or Plasma","Both"
"38486-7","Homocystine [Presence] in DBS","Both"
"6844-5","Honey bee IgE Ab [Units/volume] in Serum","Both"
"6143-2","Horse dander IgE Ab [Units/volume] in Serum","Both"
"9828-5","House dust Greer IgE Ab [Units/volume] in Serum","Both"
"22070-7","HP gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal","Both"
"22362-8","HTLV I+II Ab [Presence] in Serum","Both"
"29901-6","HTLV I+II Ab [Presence] in Serum by Immunoassay","Both"
"16982-1","HTLV I+II Ab [Presence] in Serum by Immunoblot","Both"
"44538-7","HTLV I+II Ab [Presence] in Serum from Donor","Both"
"55180-4","Human epididymis protein 4 [Moles/volume] in Serum or Plasma","Both"
"71432-9","Human papilloma virus 16 and 18 and 31+33+35+39+45+51+52+56+58+59+66+68 DNA - Cervix","Order"
"30167-1","Human papilloma virus 16+18+31+33+35+39+45+51+52+56+58+59+68 DNA [Presence] in Cervix by Probe with signal amplification","Both"
"21440-3","Human papilloma virus 16+18+31+33+35+45+51+52+56 DNA [Presence] in Cervix by Probe","Both"
"71431-1","Human papilloma virus 31+33+35+39+45+51+52+56+58+59+66+68 DNA [Presence] in Cervix by NAA with probe detection","Both"
"21441-1","Human papilloma virus 6+11+42+43+44 DNA [Presence] in Cervix by Probe","Both"
"42481-2","Human papilloma virus 6+11+42+43+44 DNA [Presence] in Cervix by Probe with signal amplification","Both"
"44547-8","Human papilloma virus DNA [Presence] in Unspecified specimen by Probe with signal amplification","Both"
"48560-7","Human papilloma virus genotype [Identifier] in Unspecified specimen by NAA with probe detection","Both"
"12308-3","HYDROcodone [Presence] in Urine","Both"
"9834-3","HYDROmorphone [Presence] in Urine","Both"
"2458-8","IgA [Mass/volume] in Serum or Plasma","Both"
"2460-4","IgD [Mass/volume] in Serum","Both"
"2462-0","IgE [Mass/volume] in Serum","Both"
"19113-0","IgE [Units/volume] in Serum or Plasma","Both"
"2464-6","IgG [Mass/volume] in Cerebral spinal fluid","Both"
"2465-3","IgG [Mass/volume] in Serum or Plasma","Both"
"47289-4","IgG and IgG subclass panel [Mass/volume] - Serum","Order"
"47290-2","IgG subclass panel [Mass/volume] - Serum","Order"
"2472-9","IgM [Mass/volume] in Serum or Plasma","Both"
"27831-7","Immune complex [Units/volume] in Serum or Plasma by C1q binding assay","Both"
"49120-9","Immunodeficiency follow-up panel - Unspecified specimen by Flow cytometry (FC)","Order"
"45268-0","Immunodeficiency panel - Blood by Flow cytometry (FC)","Order"
"49275-1","Immunofixation for Serum or Plasma Narrative","Both"
"13440-3","Immunofixation for Urine","Both"
"17793-1","Immunoglobulin light chains [Mass/volume] in 24 hour Urine","Both"
"43110-6","Immunoglobulin light chains panel - 24 hour Urine","Order"
"57778-3","Immunoglobulin light chains.free panel - Serum","Order"
"34550-4","Immunoglobulin panel [Mass/volume] - Serum","Order"
"1003-3","Indirect antiglobulin test.complement specific reagent [Presence] in Serum or Plasma","Both"
"5862-8","Influenza virus A Ag [Presence] in Unspecified specimen by Immunoassay","Both"
"5863-6","Influenza virus A Ag [Presence] in Unspecified specimen by Immunofluorescence","Both"
"72366-8","Influenza virus A and B Ag [Identifier] in Nose by Rapid immunoassay","Both"
"48509-4","Influenza virus A and B RNA [Identifier] in Unspecified specimen by NAA with probe detection","Both"
"31437-7","Influenza virus A IgG Ab [Units/volume] in Serum","Both"
"24015-0","Influenza virus A+B Ag [Presence] in Unspecified specimen","Both"
"6437-8","Influenza virus A+B Ag [Presence] in Unspecified specimen by Immunoassay","Both"
"6438-6","Influenza virus A+B Ag [Presence] in Unspecified specimen by Immunofluorescence","Both"
"46083-2","Influenza virus B Ag [Presence] in Nasopharynx by Immunoassay","Both"
"5866-9","Influenza virus B Ag [Presence] in Unspecified specimen by Immunoassay","Both"
"17015-9","Influenza virus B IgG Ab [Units/volume] in Serum","Both"
"6604-3","Influenza virus identified in Unspecified specimen by Organism specific culture","Both"
"23883-2","Inhibin A [Mass/volume] in Serum or Plasma","Both"
"34319-4","Inhibin B [Mass/volume] in Serum or Plasma","Both"
"20448-7","Insulin [Units/volume] in Serum or Plasma","Both"
"8072-1","Insulin Ab [Units/volume] in Serum","Both"
"6901-3","Insulin Free [Units/volume] in Serum or Plasma","Both"
"48615-9","Insulin.free and Insulin.total panel [Units/volume] - Serum or Plasma","Order"
"2483-6","Insulin-like growth factor binding protein 3 [Mass/volume] in Serum or Plasma","Both"
"2484-4","Insulin-like growth factor-I [Mass/volume] in Serum or Plasma","Both"
"9537-2","Intrinsic factor blocking Ab [Presence] in Serum by Radioimmunoassay (RIA)","Both"
"2494-3","Iodine [Mass/volume] in Serum or Plasma","Both"
"2498-4","Iron [Mass/volume] in Serum or Plasma","Both"
"50190-8","Iron and Iron binding capacity panel - Serum or Plasma","Order"
"2500-7","Iron binding capacity [Mass/volume] in Serum or Plasma","Both"
"2501-5","Iron binding capacity.unsaturated [Mass/volume] in Serum or Plasma","Both"
"31209-0","Islet cell 512 Ab [Units/volume] in Serum","Both"
"5669-7","Isopropanol [Mass/volume] in Serum or Plasma","Both"
"10853-0","Isospora belli [Presence] in Unspecified specimen by Acid fast stain.Kinyoun modified","Both"
"6151-5","Italian Cypress IgE Ab [Units/volume] in Serum","Both"
"43399-5","JAK2 gene p.Val617Phe [Presence] in Blood or Tissue by Molecular genetics method","Both"
"5234-0","Jo-1 extractable nuclear Ab [Presence] in Serum by Immunoassay","Both"
"11565-9","Jo-1 extractable nuclear Ab [Units/volume] in Serum","Both"
"6152-3","Johnson grass IgE Ab [Units/volume] in Serum","Both"
"11050-2","Kappa light chains [Mass/volume] in Serum or Plasma","Both"
"36916-5","Kappa light chains.free [Mass/volume] in Serum","Both"
"33773-3","Karyotype [Identifier] in Amniotic fluid Nominal","Both"
"29770-5","Karyotype [Identifier] in Blood or Tissue Nominal","Both"
"33893-9","Karyotype [Identifier] in Bone marrow Nominal","Both"
"6153-1","Kentucky blue grass IgE Ab [Units/volume] in Serum","Both"
"33058-9","Ketones [Mass/volume] in Serum or Plasma","Both"
"5797-6","Ketones [Mass/volume] in Urine by Test strip","Both"
"33903-6","Ketones [Presence] in Urine","Both"
"59297-2","Lacosamide [Mass/volume] in Serum or Plasma","Both"
"7445-0","Lactalbumin alpha IgE Ab [Units/volume] in Serum","Both"
"14118-4","Lactate [Mass/volume] in Serum or Plasma","Both"
"32693-4","Lactate [Moles/volume] in Blood","Both"
"2524-7","Lactate [Moles/volume] in Serum or Plasma","Both"
"14803-1","Lactate dehydrogenase [Enzymatic activity/volume] in Body fluid by Lactate to pyruvate reaction","Both"
"60017-1","Lactate dehydrogenase [Enzymatic activity/volume] in Body fluid by Pyruvate to lactate reaction","Both"
"14804-9","Lactate dehydrogenase [Enzymatic activity/volume] in Serum or Plasma by Lactate to pyruvate reaction","Both"
"14805-6","Lactate dehydrogenase [Enzymatic activity/volume] in Serum or Plasma by Pyruvate to lactate reaction","Both"
"42929-0","Lactate dehydrogenase panel - Serum or Plasma","Order"
"40703-1","Lactoferrin [Presence] in Stool by Immunoassay","Both"
"11051-0","Lambda light chains [Mass/volume] in Serum or Plasma","Both"
"33944-0","Lambda light chains.free [Mass/volume] in Serum or Plasma","Both"
"6948-4","lamoTRIgine [Mass/volume] in Serum or Plasma","Both"
"6158-0","Latex IgE Ab [Units/volume] in Serum","Both"
"5671-3","Lead [Mass/volume] in Blood","Both"
"10912-4","Lead [Mass/volume] in Serum or Plasma","Both"
"14976-5","Lecithin/Sphingomyelin [Ratio] in Amniotic fluid","Both"
"38901-5","Leflunomide [Mass/volume] in Serum or Plasma","Both"
"41499-5","Legionella pneumophila 1 Ag [Presence] in Urine by Immunoassay","Both"
"49914-5","Legionella pneumophila 1+2+3+4+5+6 IgM Ab [Presence] in Serum","Both"
"30046-7","Legionella pneumophila Ab [Units/volume] in Serum by Immunoassay","Both"
"588-4","Legionella pneumophila Ag [Presence] in Unspecified specimen by Immunofluorescence","Both"
"31870-9","Legionella pneumophila Ag [Presence] in Urine","Both"
"6447-7","Legionella pneumophila Ag [Presence] in Urine by Immunoassay","Both"
"6448-5","Legionella pneumophila Ag [Presence] in Urine by Radioimmunoassay (RIA)","Both"
"593-4","Legionella sp identified in Unspecified specimen by Organism specific culture","Both"
"6239-8","Lenscale IgE Ab [Units/volume] in Serum","Both"
"21365-2","Leptin [Mass/volume] in Serum or Plasma","Both"
"7959-0","Leptospira sp Ab [Titer] in Serum","Both"
"15112-6","Leukocyte phosphatase [Units/volume] in Leukocytes","Both"
"26464-8","Leukocytes [#/volume] in Blood","Both"
"6690-2","Leukocytes [#/volume] in Blood by Automated count","Both"
"13349-6","Leukocytes [#/volume] in Stool by Manual count","Both"
"13655-6","Leukocytes [Presence] in Stool by Light microscopy","Both"
"30471-7","levETIRAcetam [Mass/volume] in Serum or Plasma","Both"
"3714-3","Lidocaine [Mass/volume] in Serum or Plasma","Both"
"15212-4","Lipase [Enzymatic activity/volume] in Body fluid","Both"
"3040-3","Lipase [Enzymatic activity/volume] in Serum or Plasma","Both"
"24331-1","Lipid 1996 panel - Serum or Plasma","Order"
"57698-3","Lipid panel with direct LDL - Serum or Plasma","Order"
"10835-7","Lipoprotein a [Mass/volume] in Serum or Plasma","Both"
"43583-4","Lipoprotein a [Moles/volume] in Serum or Plasma","Both"
"3719-2","Lithium [Mass/volume] in Serum or Plasma","Both"
"14334-7","Lithium [Moles/volume] in Serum or Plasma","Both"
"32220-6","Liver kidney microsomal 1 Ab [Units/volume] in Serum","Both"
"9838-4","Liver kidney microsomal Ab [Titer] in Serum by Immunofluorescence","Both"
"6165-5","Lobster IgE Ab [Units/volume] in Serum","Both"
"15191-0","Lupus anticoagulant neutralization dilute phospholipid [Presence] in Platelet poor plasma","Both"
"3284-7","Lupus anticoagulant neutralization platelet [Time] in Platelet poor plasma by Coagulation assay","Both"
"10501-5","Lutropin [Units/volume] in Serum or Plasma","Both"
"54227-4","Lymphoma - acute screen panel - Unspecified specimen by Flow cytometry (FC)","Order"
"54228-2","Lymphoma - CLL screen panel - Unspecified specimen by Flow cytometry (FC)","Order"
"54229-0","Lymphoma - T-cell screen panel - Unspecified specimen by Flow cytometry (FC)","Order"
"54226-6","Lymphoma panel - Unspecified specimen by Flow cytometry (FC)","Order"
"29956-0","Lysozyme [Mass/volume] in Body fluid","Both"
"11183-1","Macadamia IgE Ab [Units/volume] in Serum","Both"
"24447-5","Magnesium [Mass/time] in 24 hour Urine","Both"
"26746-8","Magnesium [Mass/volume] in Red Blood Cells","Both"
"19123-9","Magnesium [Mass/volume] in Serum or Plasma","Both"
"19124-7","Magnesium [Mass/volume] in Urine","Both"
"2597-3","Magnesium [Moles/volume] in Red Blood Cells","Both"
"2601-3","Magnesium [Moles/volume] in Serum or Plasma","Both"
"7477-3","Mango Pollen IgE Ab [Units/volume] in Serum","Both"
"6232-3","Marsh Elder IgE Ab [Units/volume] in Serum","Both"
"12232-5","Measles virus Ag [Presence] in Unspecified specimen by Immunofluorescence","Both"
"20479-2","Measles virus IgG Ab [Presence] in Serum","Both"
"35275-7","Measles virus IgG Ab [Presence] in Serum by Immunoassay","Both"
"5244-9","Measles virus IgG Ab [Units/volume] in Serum by Immunoassay","Both"
"2605-4","Meat fibers [Presence] in Stool by Light microscopy","Both"
"3746-5","Meperidine [Presence] in Urine","Both"
"5685-3","Mercury [Mass/volume] in Blood","Both"
"2609-6","Metanephrines [Mass/time] in 24 hour Urine","Both"
"3773-9","Methadone [Presence] in Urine","Both"
"19550-3","Methadone [Presence] in Urine by Screen method","Both"
"70149-0","Methadone [Presence] in Urine by Screen method >300 ng/mL","Both"
"5693-7","Methanol [Mass/volume] in Serum or Plasma","Both"
"3786-1","Methaqualone [Presence] in Urine","Both"
"2614-6","Methemoglobin/Hemoglobin.total in Blood","Both"
"35492-8","Methicillin resistant Staphylococcus aureus (MRSA) DNA [Presence] in Unspecified specimen by NAA with probe detection","Both"
"13317-3","Methicillin resistant Staphylococcus aureus [Presence] in Unspecified specimen by Organism specific culture","Both"
"14836-1","Methotrexate [Moles/volume] in Serum or Plasma","Both"
"13964-2","Methylmalonate [Moles/volume] in Serum or Plasma","Both"
"30003-8","Microalbumin [Mass/volume] in 24 hour Urine","Both"
"14957-5","Microalbumin [Mass/volume] in Urine","Both"
"58431-8","Microalbumin panel - 24 hour Urine","Order"
"58448-2","Microalbumin ug/min [Mass/time] in 24 hour Urine","Both"
"58447-4","Microalbumin/Creatinine panel in 24H Urine","Order"
"34535-5","Microalbumin/Creatinine panel in random Urine","Order"
"51714-4","Microscopic observation [Identifier] in Blood by Giemsa stain","Both"
"10355-6","Microscopic observation [Identifier] in Bone marrow by Wright Giemsa stain","Both"
"19765-7","Microscopic observation [Identifier] in Cervical or vaginal smear or scraping by Cyto stain","Both"
"10524-7","Microscopic observation [Identifier] in Cervix by Cyto stain","Both"
"18500-9","Microscopic observation [Identifier] in Cervix by Cyto stain.thin prep","Both"
"49050-8","Microscopic observation [Identifier] in Endocervical brush by Cyto stain","Both"
"10526-2","Microscopic observation [Identifier] in Sputum by Cyto stain","Both"
"6473-3","Microscopic observation [Identifier] in Tissue by Trichrome stain","Both"
"11545-1","Microscopic observation [Identifier] in Unspecified specimen by Acid fast stain","Both"
"655-1","Microscopic observation [Identifier] in Unspecified specimen by Acid fast stain.Kinyoun modified","Both"
"10525-4","Microscopic observation [Identifier] in Unspecified specimen by Cyto stain","Both"
"664-3","Microscopic observation [Identifier] in Unspecified specimen by Gram stain","Both"
"666-8","Microscopic observation [Identifier] in Unspecified specimen by India ink prep","Both"
"667-6","Microscopic observation [Identifier] in Unspecified specimen by KOH preparation","Both"
"20431-3","Microscopic observation [Identifier] in Unspecified specimen by Smear","Both"
"680-9","Microscopic observation [Identifier] in Unspecified specimen by Wet preparation","Both"
"681-7","Microscopic observation [Identifier] in Unspecified specimen by Wright stain","Both"
"11070-0","Microscopic observation [Identifier] in Urine by Cyto stain","Both"
"32819-5","Microsporidia identified in Stool by Trichrome stain","Both"
"6174-7","Milk IgE Ab [Units/volume] in Serum","Both"
"17284-1","Mitochondria Ab [Presence] in Serum by Immunofluorescence","Both"
"5247-2","Mitochondria Ab [Titer] in Serum by Immunofluorescence","Both"
"14251-3","Mitochondria M2 IgG Ab [Units/volume] in Serum","Both"
"16251-1","Morphine [Mass/volume] in Urine by Confirmatory method","Both"
"3830-7","Morphine [Presence] in Urine","Both"
"6178-8","Mountain Juniper IgE Ab [Units/volume] in Serum","Both"
"28005-7","MTHFR gene c.677C>T [Presence] in Blood or Tissue by Molecular genetics method","Both"
"21709-1","MTHFR gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal","Both"
"38415-6","MTHFR gene targeted mutation analysis in Blood or Tissue by Molecular genetics method","Both"
"6182-0","Mucor racemosus IgE Ab [Units/volume] in Serum","Both"
"6183-8","Mugwort IgE Ab [Units/volume] in Serum","Both"
"38476-8","Mullerian inhibiting substance [Mass/volume] in Serum or Plasma","Both"
"22415-4","Mumps virus IgG Ab [Presence] in Serum","Both"
"6476-6","Mumps virus IgG Ab [Presence] in Serum by Immunoassay","Both"
"7966-5","Mumps virus IgG Ab [Units/volume] in Serum","Both"
"25418-5","Mumps virus IgG Ab [Units/volume] in Serum by Immunoassay","Both"
"25419-3","Mumps virus IgM Ab [Units/volume] in Serum by Immunoassay","Both"
"533-0","Mycobacterium sp identified in Blood by Organism specific culture","Both"
"543-9","Mycobacterium sp identified in Unspecified specimen by Organism specific culture","Both"
"23905-3","Mycophenolate [Mass/volume] in Serum or Plasma","Both"
"42621-3","Mycoplasma hominis DNA [Presence] in Blood by NAA with probe detection","Both"
"29257-3","Mycoplasma pneumoniae DNA [Presence] in Unspecified specimen by NAA with probe detection","Both"
"5255-5","Mycoplasma pneumoniae IgG Ab [Units/volume] in Serum by Immunoassay","Both"
"58733-7","Mycoplasma pneumoniae IgG and IgM panel - Serum","Order"
"5256-3","Mycoplasma pneumoniae IgM Ab [Units/volume] in Serum by Immunoassay","Both"
"23301-5","Mycoplasma sp DNA [Presence] in Unspecified specimen by NAA with probe detection","Both"
"2638-5","Myelin basic protein [Mass/volume] in Cerebral spinal fluid","Both"
"6969-0","Myeloperoxidase Ab [Units/volume] in Serum","Both"
"46266-3","Myeloperoxidase Ab [Units/volume] in Serum by Immunoassay","Both"
"53833-0","Myoglobin [Mass/volume] in Blood","Both"
"2639-3","Myoglobin [Mass/volume] in Serum or Plasma","Both"
"2641-9","Myoglobin [Mass/volume] in Urine","Both"
"2640-1","Myoglobin [Presence] in Urine","Both"
"3834-9","N-acetylprocainamide [Mass/volume] in Serum or Plasma","Both"
"42637-9","Natriuretic peptide B [Mass/volume] in Blood","Both"
"30934-4","Natriuretic peptide B [Mass/volume] in Serum or Plasma","Both"
"33762-6","Natriuretic peptide.B prohormone N-Terminal [Mass/volume] in Serum or Plasma","Both"
"698-1","Neisseria gonorrhoeae [Presence] in Unspecified specimen by Organism specific culture","Both"
"47387-6","Neisseria gonorrhoeae DNA [Presence] in Genital specimen by NAA with probe detection","Both"
"24111-7","Neisseria gonorrhoeae DNA [Presence] in Unspecified specimen by NAA with probe detection","Both"
"21416-3","Neisseria gonorrhoeae DNA [Presence] in Urine by NAA with probe detection","Both"
"50388-8","Neisseria gonorrhoeae rRNA [Presence] in Cervix by NAA with probe detection","Both"
"32198-4","Neisseria gonorrhoeae rRNA [Presence] in Cervix by Probe","Both"
"43305-2","Neisseria gonorrhoeae rRNA [Presence] in Unspecified specimen by NAA with probe detection","Both"
"5028-6","Neisseria gonorrhoeae rRNA [Presence] in Unspecified specimen by Probe","Both"
"53927-0","Neisseria gonorrhoeae rRNA [Presence] in Urethra by NAA with probe detection","Both"
"60256-5","Neisseria gonorrhoeae rRNA [Presence] in Urine by NAA with probe detection","Both"
"6186-1","Nettle IgE Ab [Units/volume] in Serum","Both"
"41617-2","Neutrophil Ab [Presence] in Serum by Flow cytometry (FC)","Both"
"21023-7","Neutrophil cytoplasmic Ab [Titer] in Serum","Both"
"48050-9","Neutrophils [Presence] in Stool by Wright stain","Both"
"54089-8","Newborn screening panel American Health Information Community (AHIC)","Order"
"18244-4","Niacin [Mass/volume] in Serum or Plasma","Both"
"3854-7","Nicotine [Mass/volume] in Urine","Both"
"33716-2","Non-gynecological cytology method study","Both"
"35622-0","Nordiazepam [Mass/volume] in Serum or Plasma by Screen method","Both"
"16228-9","Nordiazepam [Mass/volume] in Urine by Confirmatory method","Both"
"3861-2","Nordiazepam [Presence] in Urine","Both"
"3872-9","Nortriptyline [Mass/volume] in Serum or Plasma","Both"
"8061-4","Nuclear Ab [Presence] in Serum","Both"
"47383-5","Nuclear Ab [Presence] in Serum by Immunoassay","Both"
"29953-7","Nuclear Ab [Titer] in Serum","Both"
"5048-4","Nuclear Ab [Titer] in Serum by Immunofluorescence","Both"
"27200-5","Nuclear Ab [Units/volume] in Serum","Both"
"5047-6","Nuclear Ab [Units/volume] in Serum by Immunoassay","Both"
"63486-5","Nut allergen panel - Serum","Order"
"6190-3","Oat IgE Ab [Units/volume] in Serum","Both"
"24364-2","Obstetric 1996 panel - Serum and Blood","Order"
"56764-4","Oligoclonal Bands IgG [Presence] in Cerebral spinal fluid by Isoelectric focusing","Both"
"8220-6","Opiates [Mass/volume] in Urine","Both"
"8214-9","Opiates [Presence] in Meconium","Both"
"8216-4","Opiates [Presence] in Meconium by Screen method","Both"
"3879-4","Opiates [Presence] in Urine","Both"
"18390-5","Opiates [Presence] in Urine by Confirmatory method","Both"
"19295-5","Opiates [Presence] in Urine by Screen method","Both"
"70151-6","Opiates [Presence] in Urine by Screen method >300 ng/mL","Both"
"6194-5","Orange IgE Ab [Units/volume] in Serum","Both"
"2692-2","Osmolality of Serum or Plasma","Both"
"2695-5","Osmolality of Urine","Both"
"2697-1","Osteocalcin [Mass/volume] in Serum or Plasma","Both"
"10701-1","Ova and parasites identified in Stool by Concentration","Both"
"10704-5","Ova and parasites identified in Stool by Light microscopy","Both"
"673-4","Ova and parasites identified in Unspecified specimen by Light microscopy","Both"
"2701-1","Oxalate [Mass/time] in 24 hour Urine","Both"
"2700-3","Oxalate [Mass/volume] in Urine","Both"
"14862-7","Oxalate [Moles/time] in 24 hour Urine","Both"
"16201-6","Oxazepam [Mass/volume] in Urine by Confirmatory method","Both"
"12361-2","Oxazepam [Presence] in Urine","Both"
"35331-8","OXcarbazepine [Mass/volume] in Serum or Plasma","Both"
"16249-5","oxyCODONE [Mass/volume] in Urine by Confirmatory method","Both"
"10998-3","oxyCODONE [Presence] in Urine","Both"
"19643-6","oxyCODONE [Presence] in Urine by Confirmatory method","Both"
"17395-5","oxyMORphone [Mass/volume] in Urine by Confirmatory method","Both"
"18325-1","oxyMORphone [Presence] in Urine by Confirmatory method","Both"
"7558-0","Oyster IgE Ab [Units/volume] in Serum","Both"
"56687-7","Pancreatic islet cell IgG Ab [Titer] in Serum by Immunofluorescence","Both"
"13327-2","Parainfluenza virus Ag [Presence] in Unspecified specimen by Immunofluorescence","Both"
"2729-2","Parathyrin related protein [Mass/volume] in Serum or Plasma","Both"
"2731-8","Parathyrin.intact [Mass/volume] in Serum or Plasma","Both"
"5271-2","Parietal cell Ab [Titer] in Serum by Immunofluorescence","Both"
"8087-9","Parietal cell Ab [Units/volume] in Serum","Both"
"55164-8","Paroxysmal nocturnal panel - Blood","Order"
"29675-6","Parvovirus B19 IgG Ab [Presence] in Serum","Both"
"29660-8","Parvovirus B19 IgG Ab [Presence] in Serum by Immunoassay","Both"
"25630-5","Parvovirus B19 IgG Ab [Titer] in Serum","Both"
"7983-0","Parvovirus B19 IgG Ab [Units/volume] in Serum","Both"
"5273-8","Parvovirus B19 IgG Ab [Units/volume] in Serum by Immunoassay","Both"
"7981-4","Parvovirus B19 IgM Ab [Presence] in Serum","Both"
"40658-7","Parvovirus B19 IgM Ab [Presence] in Serum by Immunoassay","Both"
"25631-3","Parvovirus B19 IgM Ab [Titer] in Serum","Both"
"7984-8","Parvovirus B19 IgM Ab [Units/volume] in Serum","Both"
"5274-6","Parvovirus B19 IgM Ab [Units/volume] in Serum by Immunoassay","Both"
"14869-2","Pathologist review of Blood tests","Both"
"6204-2","Pea IgE Ab [Units/volume] in Serum","Both"
"6206-7","Peanut IgE Ab [Units/volume] in Serum","Both"
"6208-3","Pecan or Hickory Nut IgE Ab [Units/volume] in Serum","Both"
"6209-1","Pecan or Hickory Tree IgE Ab [Units/volume] in Serum","Both"
"6851-0","Penicillin G IgE Ab [Units/volume] in Serum","Both"
"6212-5","Penicillium notatum IgE Ab [Units/volume] in Serum","Both"
"7369-2","Perennial rye grass IgE Ab [Units/volume] in Serum","Both"
"2748-2","pH of Body fluid","Both"
"2749-0","pH of Gastric fluid","Both"
"2755-7","pH of Stool","Both"
"2756-5","pH of Urine","Both"
"5803-2","pH of Urine by Test strip","Both"
"8234-7","Phencyclidine [Presence] in Meconium by Screen method","Both"
"3936-2","Phencyclidine [Presence] in Urine","Both"
"19659-2","Phencyclidine [Presence] in Urine by Screen method","Both"
